date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:33	1710/1710	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243dab-6ae%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/question.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/question.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:34	397769/397769	---MCZ	200	added ('OK')	text/html	etag:%2215a5sxkvgna8if5%22	https://uk.trustpilot.com/review/www.TheBigPhone.co.uk	C:/My%20Web%20Sites/phonehouse/uk.trustpilot.com/review/www.TheBigPhone.co.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:36	304207/304207	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:35%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-offers	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-offers.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:36	1283/1283	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243dab-503%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/sale.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/sale.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:36	848/848	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263243dab-350%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/phone.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/phone.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:37	152042/152042	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:37%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:38	177840/177840	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:38%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-14-pro-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-14-pro-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:39	181423/181423	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:39%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-14-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-14-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:40	187019/187019	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:40%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-13-pro-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-13-pro-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:41	190666/190666	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:40%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-13-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-13-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:42	175858/175858	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:41%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-14-pro-max-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-14-pro-max-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:42	186648/186648	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:42%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/apple-iphone-11	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/apple-iphone-11.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:43	181533/181533	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:42%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-13-pro-max-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/iphone-13-pro-max-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:44	180131/180131	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:43%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-deals/samsung-galaxy-s22-ultra-5g	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-deals/samsung-galaxy-s22-ultra-5g.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:45	156113/156113	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:44%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/mobile-phone-upgrade-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/mobile-phone-upgrade-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:45	1309/1309	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243dac-51d%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/upgrade.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/upgrade.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:46	144799/144799	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:45%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/sim-free-phones	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/sim-free-phones.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:46	2341/2341	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2263243daf-925%22	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/images/header/nav/simfree.svg	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/images/header/nav/simfree.svg	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
18:50:47	131346/131346	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2016:50:46%20GMT	http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/refurbished-mobile-phone-deals	C:/My%20Web%20Sites/phonehouse/www.TheBigPhone.co.uk/refurbished-mobile-phone-deals.html	(from http://127.0.0.1/TheBigphone/www.TheBigPhone.co.uk/)
